"Pais","Lmundial","Leconomica","Lprensa","Idemocracia"
" Latvia","Libre","Mayormente libre","Satisfactoria","Endeble"
" Lebanon","Parcialmente libre","Mayormente no libre","Moderada","Hibrido"
" Lesotho","Parcialmente libre","Mayormente no libre","Moderada","Endeble"
" Liberia","Parcialmente libre","Reprimido","Moderada","Hibrido"
" Libya","No libre",NA,"Muy seria","Autoritario"
" Liechtenstein","Libre",NA,"Satisfactoria",NA
" Lithuania","Libre","Mayormente libre","Satisfactoria","Endeble"
" Luxembourg","Libre","Mayormente libre","Satisfactoria","Democracia"
" Macau",NA,"Mayormente libre",NA,NA
" Madagascar","Parcialmente libre","Moderadamente libre","Moderada","Hibrido"
" Malawi","Parcialmente libre","Mayormente no libre","Moderada","Hibrido"
" Malaysia","Parcialmente libre","Mayormente libre","Moderada","Endeble"
" Maldives","Parcialmente libre","Mayormente no libre","Moderada",NA
" Mali","Parcialmente libre","Mayormente no libre","Moderada","Hibrido"
" Malta","Libre","Moderadamente libre","Moderada","Endeble"
" Marshall Islands","Libre",NA,NA,NA
" Mauritania","Parcialmente libre","Mayormente no libre","Moderada","Autoritario"
" Mauritius","Libre","Mayormente libre","Moderada","Democracia"
" Mexico","Parcialmente libre","Moderadamente libre","Dificil","Endeble"
" Micronesia, Federated States of","Libre","Mayormente no libre",NA,NA
" Moldova","Parcialmente libre","Moderadamente libre","Moderada","Hibrido"
" Monaco","Libre",NA,NA,NA
" Mongolia","Libre","Mayormente no libre","Moderada","Endeble"
" Montenegro","Parcialmente libre","Moderadamente libre","Moderada","Hibrido"
" Morocco","Parcialmente libre","Moderadamente libre","Dificil","Hibrido"
" Mozambique","Parcialmente libre","Mayormente no libre","Moderada","Autoritario"
" Namibia","Libre","Moderadamente libre","Satisfactoria","Endeble"
" Nauru","Libre",NA,NA,NA
"   Nepal","Parcialmente libre","Mayormente no libre","Dificil","Hibrido"
" Netherlands","Libre","Mayormente libre","Buena","Democracia"
" New Zealand","Libre","Libre","Buena","Democracia"
" Nicaragua","No libre","Mayormente no libre","Dificil","Autoritario"
" Niger","Parcialmente libre","Mayormente no libre","Moderada","Autoritario"
" Nigeria","Parcialmente libre","Mayormente no libre","Dificil","Hibrido"
" North Macedonia","Parcialmente libre","Moderadamente libre","Moderada","Hibrido"
" Norway","Libre","Mayormente libre","Buena","Democracia"
" Oman","No libre","Moderadamente libre","Dificil","Autoritario"
" Pakistan","Parcialmente libre","Mayormente no libre","Dificil","Hibrido"
" Palau","Libre",NA,NA,NA
" Palestine","No libre",NA,"Dificil","Autoritario"
" Panama","Libre","Moderadamente libre","Moderada","Endeble"
" Papua New Guinea","Parcialmente libre","Mayormente no libre","Satisfactoria","Endeble"
" Paraguay","Parcialmente libre","Moderadamente libre","Moderada","Endeble"
" Peru","Libre","Moderadamente libre","Moderada","Endeble"
" Philippines","Parcialmente libre","Moderadamente libre","Dificil","Endeble"
" Poland","Libre","Moderadamente libre","Moderada","Endeble"
" Portugal","Libre","Moderadamente libre","Buena","Democracia"
" Qatar","No libre","Mayormente libre","Dificil","Autoritario"
" Romania","Libre","Moderadamente libre","Moderada","Endeble"
" Russia","No libre","Moderadamente libre","Dificil","Autoritario"
" Rwanda","No libre","Mayormente libre","Dificil","Autoritario"
" Saint Kitts and Nevis","Libre",NA,"Satisfactoria",NA
" Saint Lucia","Libre","Moderadamente libre","Satisfactoria",NA
" Saint Vincent and the Grenadines","Libre","Moderadamente libre","Satisfactoria",NA
" Samoa","Libre","Moderadamente libre","Satisfactoria",NA
" San Marino","Libre",NA,NA,NA
" São Tomé and Príncipe","Libre","Mayormente no libre",NA,NA
" Saudi Arabia","No libre","Moderadamente libre","Muy seria","Autoritario"
" Senegal","Parcialmente libre","Mayormente no libre","Satisfactoria","Hibrido"
" Serbia","Parcialmente libre","Moderadamente libre","Moderada","Endeble"
" Seychelles","Parcialmente libre","Moderadamente libre","Moderada",NA
" Sierra Leone","Parcialmente libre","Reprimido","Moderada","Hibrido"
" Singapore","Parcialmente libre","Libre","Muy seria","Endeble"
" Slovakia","Libre","Moderadamente libre","Satisfactoria","Endeble"
" Slovenia","Libre","Moderadamente libre","Satisfactoria","Endeble"
" Solomon Islands","Libre","Mayormente no libre",NA,NA
" Somalia","No libre",NA,"Muy seria",NA
" South Africa","Libre","Mayormente no libre","Satisfactoria","Endeble"
" South Sudan","No libre",NA,"Dificil",NA
" Spain","Libre","Moderadamente libre","Satisfactoria","Democracia"
" Sri Lanka","Parcialmente libre","Mayormente no libre","Dificil","Endeble"
" Sudan","No libre","Reprimido","Muy seria","Autoritario"
" Suriname","Libre","Reprimido","Satisfactoria","Endeble"
" Sweden","Libre","Mayormente libre","Buena","Democracia"
"  Switzerland","Libre","Libre","Buena","Democracia"
" Syria","No libre",NA,"Muy seria","Autoritario"
" Taiwan","Libre","Mayormente libre","Satisfactoria","Endeble"
" Tajikistan","No libre","Mayormente no libre","Muy seria","Autoritario"
" Tanzania","Parcialmente libre","Moderadamente libre","Dificil","Hibrido"
" Thailand","Parcialmente libre","Moderadamente libre","Dificil","Endeble"
" Togo","Parcialmente libre","Mayormente no libre","Moderada","Autoritario"
" Tonga","Libre","Mayormente no libre","Moderada",NA
" Trinidad and Tobago","Libre","Mayormente no libre","Satisfactoria","Endeble"
" Tunisia","Libre","Mayormente no libre","Moderada","Endeble"
" Turkey","No libre","Moderadamente libre","Dificil","Hibrido"
" Turkmenistan","No libre","Reprimido","Muy seria","Autoritario"
" Tuvalu","Libre",NA,NA,NA
" Uganda","No libre","Mayormente no libre","Dificil","Hibrido"
" Ukraine","Parcialmente libre","Mayormente no libre","Moderada","Hibrido"
" United Arab Emirates","No libre","Mayormente libre","Dificil","Autoritario"
" United Kingdom","Libre","Mayormente libre","Satisfactoria","Democracia"
" United States","Libre","Mayormente libre","Satisfactoria","Endeble"
" Uruguay","Libre","Moderadamente libre","Satisfactoria","Democracia"
" Uzbekistan","No libre","Mayormente no libre","Dificil","Autoritario"
" Vanuatu","Libre","Moderadamente libre",NA,NA
" Venezuela","No libre","Reprimido","Dificil","Autoritario"
" Vietnam","No libre","Mayormente no libre","Muy seria","Autoritario"
" Yemen","No libre",NA,"Muy seria","Autoritario"
" Zambia","Parcialmente libre","Mayormente no libre","Dificil","Hibrido"
" Zimbabwe","Parcialmente libre","Reprimido","Dificil","Autoritario"
